,index,x,y,cluster
341,ZNF148:P1P2,67.69716,-80.95337,52
342,ZNF169:P1P2,58.630527,-36.0522,53
343,ZNF18:P1P2,35.75563,-7.175938,53
344,ZNF195:P1P2,51.59748,-5.7886925,23
345,ZNF205:P1P2,-19.749226,-84.37488,31
346,ZNF207:P2,-76.53807,1.5188006,47
347,ZNF219:P1P2,18.226265,-111.85533,49
348,ZNF239:P1P2,45.128696,66.822914,23
349,ZNF266:P1P2,-64.03933,24.818497,47
350,ZNF26:P1P2,63.704456,-78.46487,52
351,ZNF280D:P1P2,-11.931555,115.57495,7
352,ZNF292:P1P2,-16.44163,83.68185,51
353,ZNF318:P1P2,16.694036,101.09605,51
354,ZNF326:P1P2,-9.355598,-23.24585,31
355,ZNF331:P2,36.97942,-4.8409214,25
356,ZNF343:P1P2,-17.580015,-78.36283,31
357,ZNF358:P1,-11.690891,-103.74523,5
358,ZNF367:P1P2,85.67205,-17.658962,23
359,ZNF384:P1P2,-56.389515,67.19744,4
360,ZNF391:P1P2,40.39816,11.356705,53
361,ZNF410:P1P2,-16.10145,-29.996586,49
362,ZNF425:P1P2,99.11529,-31.419287,53
363,ZNF436:P1,-5.386778,-105.76976,5
364,ZNF438:P2,-13.701417,-104.364655,31
365,ZNF439:P1P2,-77.578575,10.405303,47
366,ZNF441:P1P2,47.810177,-68.77486,25
367,ZNF460:P1P2,-19.118246,153.4084,7
368,ZNF462:P1P2,12.944382,-1.7437265,24
369,ZNF471:P1P2,60.535343,-79.56604,52
370,ZNF479:P1P2,78.8018,38.057266,51
371,ZNF491:P1P2,18.453455,-28.228077,25
372,ZNF496:P1P2,4.744985,81.8432,54
373,ZNF500:P1P2,61.684677,15.980668,53
374,ZNF503:P1P2,5.6318264,84.83639,7
375,ZNF518B:P1P2,55.07958,-86.064354,52
376,ZNF530:P1P2,47.85326,-10.052225,53
377,ZNF532:P1,-63.48444,-36.017002,50
378,ZNF532:P2,-65.06817,-37.70116,50
379,ZNF541:P1P2,19.576773,-93.81401,31
380,ZNF546:P1P2,-5.658066,-25.43555,25
381,ZNF580:P2,53.34974,-18.752924,53
382,ZNF598:P1P2,59.61304,-41.79014,31
383,ZNF606:P1P2,-10.720328,-26.989786,25
384,ZNF608:P1,-31.450262,-110.9691,27
385,ZNF616:P1P2,-61.45385,21.748579,47
386,ZNF618:P1P2,-14.277692,-69.55618,31
387,ZNF629:P1P2,84.50708,-7.659506,53
388,ZNF639:P1P2,-7.2649093,43.41253,53
389,ZNF649:P1P2,-17.574652,-82.90224,5
390,ZNF652:P1P2,26.631239,70.23664,54
391,ZNF667:P1P2,-0.570908,-68.85597,31
392,ZNF671:P1P2,-15.11386,-83.03938,31
393,ZNF681:P1P2,-14.657153,-65.70625,31
394,ZNF683:P1P2,78.51028,-17.44421,53
395,ZNF688:P1P2,96.17307,-38.868828,23
396,ZNF689:P1P2,-48.206085,-13.633327,31
397,ZNF705B:ENST00000400120.3,18.556356,-91.828285,25
398,ZNF718:ENST00000400172.3,-48.667492,-26.20361,47
399,ZNF740:P1P2,38.70758,66.663414,54
400,ZNF746:P1P2,-46.704506,-14.2439995,50
401,ZNF750:P1P2,-9.51356,-25.74469,25
402,ZNF763:P1P2,17.598186,-6.9835463,50
403,ZNF770:P1P2,-17.025145,-1.7738993,50
404,ZNF781:P1P2,82.727974,38.634518,25
405,ZNF782:P1P2,-77.19192,8.026276,47
406,ZNF787:P1P2,-54.83475,117.93868,0
407,ZNF7:P1P2,-66.76588,-12.930279,25
408,ZNF800:P1P2,42.659733,12.914659,50
409,ZNF814:P1P2,-4.3306723,-102.375015,5
410,ZNF827:P1P2,-7.716076,110.77755,7
411,ZNF831:ENST00000371030.2,-19.965963,-9.55929,47
412,ZNF844:P1P2,22.126034,-93.267075,31
413,ZNF850:P1P2,-12.292689,-6.117889,53
414,ZNF8:P1P2,-17.875694,-68.92146,31
415,ZNF91:P1P2,-0.9085389,-30.100756,25
416,ZSCAN10:P1P2,-28.693708,139.47253,55
417,ZSCAN20:P1P2,-70.739265,-12.43702,25
418,ZSCAN32:P1P2,24.988867,-105.09487,49
